date,category,title,amount
2019-08-02,restaurante,Madrugadao Bc,42.3
2019-08-02,outros,Harman do Brasil 2/3,53
2019-08-02,serviços,Ec*Roadsec2019fl 3/3,18.69
2019-08-02,outros,Mercado Pago 2/3,44.76
2019-08-02,vestuário,Fut Fanatics 5/5,39.98
2019-08-02,restaurante,Lanchonete Dusky,8.5
2019-08-02,vestuário,Epocaco*E148925110 4/6,86.26
2019-08-03,transporte,99* Pop 01ago 23h12min,16.32
2019-08-03,restaurante,Restaurante Manias,6
2019-08-03,restaurante,Restaurante Manias,18
2019-08-05,,Pagamento recebido,-250
2019-08-06,restaurante,Burger King,15
2019-08-06,restaurante,Lanchonete Dusky,2.5
2019-08-07,,IOF de "Paypal *Shenzhenyua",1.47
2019-08-07,eletrônicos,Paypal *Shenzhenyua,23.01
2019-08-09,,Crédito de Parcelamento,-695.92
2019-08-10,restaurante,Restaurante Manias,13
2019-08-10,supermercado,Bistek Supermercados,42.1
2019-08-11,outros,Parcelamento de Fatura (09/Agosto) 1/3,246.56
2019-08-13,restaurante,Restaurante Manias,12
2019-08-13,restaurante,Restaurante Manias,17
2019-08-16,restaurante,Pag*Floresdocafe,5
2019-08-16,transporte,Uber do Brasil Tecnolo,13.51
2019-08-17,transporte,Posto Raio de Sol,13.8
2019-08-17,supermercado,Super Imperatriz,13.75
2019-08-19,transporte,Uber do Brasil Tecnolo,13
2019-08-19,transporte,Posto Mar Azul,6
2019-08-19,transporte,Catarinense Fln,27.79
2019-08-20,outros,Paypal *Ingressocom,45
2019-08-29,restaurante,Ifood *Ifood,4.9
2019-08-29,restaurante,Lanchonete Dusky,5
2019-08-29,restaurante,Restaurante Manias,18
2019-08-30,restaurante,Ifood *Ifood,9.9
