date,category,title,amount
2019-07-02,vestuário,Epocaco*E148925110 3/6,86.26
2019-07-02,vestuário,Fut Fanatics 4/5,39.98
2019-07-02,serviços,Ec*Roadsec2019fl 2/3,18.69
2019-07-02,restaurante,Restaurante Manias,16
2019-07-02,restaurante,Restaurante Manias,12
2019-07-03,serviços,Stelo S A*Renato M Sil,8
2019-07-05,restaurante,Lanchonete Dusky,5
2019-07-06,restaurante,Lanchonete Dusky,10
2019-07-06,outros,Mercado Pago 1/3,44.77
2019-07-07,,Pagamento recebido,-737.79
2019-07-10,restaurante,Lanchonete Pedro,4.5
2019-07-11,supermercado,Supermercado Dal Mago,16.24
2019-07-12,supermercado,Super Dal Mago,21.35
2019-07-12,restaurante,Lanchonete Dusky,5
2019-07-12,restaurante,Restaurante Manias,18
2019-07-12,restaurante,Burger King,15
2019-07-15,serviços,Paypal *Tangzhongda,27.23
2019-07-15,,IOF de "Paypal *Tangzhongda",1.74
2019-07-15,,IOF de "Paypal *Powerbatt",12.39
2019-07-15,eletrônicos,Paypal *Powerbatt,194.21
2019-07-15,,IOF de "Paypal *Shenzhenyua",0.84
2019-07-15,outros,Paypal *Langyong,65.32
2019-07-15,eletrônicos,Paypal *Shenzhenyua,13.17
2019-07-15,,IOF de "Paypal *Langyong",4.17
2019-07-15,restaurante,Restaurante Manias,18
2019-07-18,supermercado,Koch Hipermercado,52.68
2019-07-22,transporte,Auto Viacao Catarinens,7.33
2019-07-22,lazer,Camboriu,18
2019-07-22,supermercado,Super Dal Mago,40.3
2019-07-23,transporte,Uber do Brasil Tecnolo,13.43
2019-07-23,outros,Harman do Brasil 1/3,53
2019-07-24,outros,Paypal *Ingressocom,30
2019-07-25,viagem,Margith Ldta,69
2019-07-25,supermercado,Koch Hipermercado,20.92
2019-07-30,restaurante,Lanchonete Dusky,7
2019-07-30,restaurante,Restaurante Manias,24.4
2019-07-30,restaurante,Restaurante Manias,14
