date,category,title,amount
2019-06-02,vestuário,Epocaco*E148925110 2/6,86.26
2019-06-02,vestuário,Fut Fanatics 3/5,39.98
2019-06-06,supermercado,Tentacao do Mate,8
2019-06-06,restaurante,Restaurante Manias,17
2019-06-06,restaurante,Restaurante Manias,12
2019-06-10,transporte,99* Pop 07jun 19h32min,7.4
2019-06-10,,Pagamento recebido,-797.76
2019-06-10,lazer,Camboriu,18
2019-06-11,restaurante,Restaurante Manias,11.5
2019-06-12,restaurante,Seara,6
2019-06-12,restaurante,Fazenda Panificadora,7.4
2019-06-13,saúde,Farmacia de Mais,12
2019-06-13,serviços,Ec*Roadsec2019fl 1/3,18.68
2019-06-13,supermercado,Koch Hipermercado,174.91
2019-06-06,restaurante,Restaurante Manias,18
2019-06-13,restaurante,Restaurante Manias,5.5
2019-06-14,restaurante,Seara,12
2019-06-15,serviços,Pag*Luanmanuelonofre,30
2019-06-17,restaurante,Becco Grill,42.91
2019-06-17,restaurante,Pizza Prime Itajai,39.9
2019-06-18,restaurante,Burger King,25.4
2019-06-19,restaurante,Siaran Sorvetes,7.5
2019-06-19,restaurante,Restaurante Manias,18
2019-06-06,restaurante,Restaurante Manias,7
2019-06-20,restaurante,Fazenda Panificadora,6.95
2019-06-24,restaurante,Burger King,42.5
2019-06-24,outros,Mikasa,8
2019-06-24,lazer,Zeus,80
2019-06-26,restaurante,Acai Sarado Lanches,11
2019-06-27,restaurante,Restaurante Manias,17
2019-06-27,restaurante,Restaurante Manias,5
2019-06-28,restaurante,Lanchonete Dusky,5
2019-06-28,restaurante,Lanchonete Dusky,5
2019-06-28,restaurante,Lanchonete Dusky,10
2019-06-29,restaurante,Cafe Paris Itajai,9.5
2019-06-29,restaurante,Lanchonete Dusky,18
