date,category,title,amount
2019-03-25,restaurante,Xizito Du Mario,21.5
2019-04-02,restaurante,Restaurante Manias,10.5
2019-04-02,restaurante,Restaurante Manias,18
2019-04-02,restaurante,Lanchonete Dusky,9
2019-04-02,transporte,Uber do Brasil Tecnolo,9.6
2019-04-02,transporte,Uber do Brasil Tecnolo,8.5
2019-04-02,restaurante,Restaurante Manias,13.75
2019-04-02,restaurante,Restaurante Manias,12
2019-04-03,transporte,Uber do Brasil Tecnolo,7.75
2019-04-03,restaurante,Cafe Paris Itajai,6.5
2019-04-04,supermercado,Super Dal Mago,17.98
2019-04-04,restaurante,Restaurante Manias,9.5
2019-04-05,supermercado,Supermercado Dal Mago,26.47
2019-04-08,restaurante,Xizito Lanchonete,51.5
2019-04-09,restaurante,Restaurante Manias,15
2019-04-09,,Pagamento recebido,-529.13
2019-04-10,restaurante,Restaurante Manias,18.5
2019-04-11,restaurante,Restaurante Manias,3
2019-04-11,restaurante,Restaurante Manias,18
2019-04-12,restaurante,Big Pizza Itapema,57
2019-04-15,restaurante,Lanchonete Petiscaria,35
2019-04-15,supermercado,Koch Hipermercado,47.34
2019-04-15,outros,Zoom*- 1/6,80
2019-04-15,vestuário,Fut Fanatics 1/5,39.98
2019-04-16,restaurante,Acai Sarado Lanches,11
2019-04-16,supermercado,Super Dal Mago,17.45
2019-04-18,restaurante,Restaurante Manias,31.5
2019-04-18,restaurante,Restaurante Manias,14
2019-04-19,restaurante,Lanchonete Dusky,5
2019-04-19,supermercado,Supermercado Dal Mago,21.27
2019-04-19,transporte,Uber do Brasil Tecnolo,41.49
2019-04-19,restaurante,Mc Donalds,37
2019-04-27,restaurante,Lanchonete Dusky,2.5
2019-04-30,transporte,Uber do Brasil Tecnolo,5.87
2019-04-30,restaurante,Restaurante Manias,10
2019-04-30,restaurante,Restaurante Manias,18
2019-04-30,transporte,99* Pop 29abr 03h23min,20.1
