date,category,title,amount
2019-10-02,outros,Parcelamento de Fatura (09/Setembro) 2/3,179.17
2019-10-02,vestuário,Epoca Cosmeticos 2/2,35.95
2019-10-02,outros,Parcelamento de Fatura (09/Agosto) 3/3,246.56
2019-10-02,vestuário,Epocaco*E148925110 6/6,86.26
2019-10-08,restaurante,Burger King,15
2019-10-08,supermercado,Comercio Agua Viva,3.99
2019-10-09,restaurante,Cafe Paris Itajai,6.5
2019-10-09,restaurante,Restaurante Manias,19
2019-10-09,restaurante,Restaurante Manias,18
2019-10-10,outros,Mikasa,18
2019-10-10,restaurante,Pag*Correadesouza,10
2019-10-11,transporte,Uber do Brasil Tecnolo,17.25
2019-10-11,,Pagamento recebido,-684.85
2019-10-14,restaurante,Vintage Rock Bar,20
2019-10-18,supermercado,Bistek Supermercados,19.99
2019-10-23,serviços,Pag*Manuelantonio,25
2019-10-24,restaurante,...,16
2019-10-24,restaurante,Pag*Correadesouza,14
2019-10-25,restaurante,...,12
2019-10-25,restaurante,Pag*Correadesouza,9
2019-10-25,restaurante,Lanchonete Dusky,8
2019-10-25,restaurante,Restaurante Manias,18
2019-10-26,outros,Lanchonete Tentacao do,6
2019-10-26,restaurante,Restaurante Manias,18
2019-10-26,restaurante,Mc Donalds Amk,9.9
2019-10-28,supermercado,Cooper,86.47
2019-11-02,,Juros e mora,3.46
2019-11-02,,IOF de atraso,1.04
2019-11-02,,Multa de atraso,13.7
