date,category,title,amount
2019-05-02,restaurante,Ifood*Ifood,32.7
2019-05-02,vestuário,Fut Fanatics 2/5,39.98
2019-05-02,transporte,99* Pop 30abr 22h00min,13.6
2019-05-02,transporte,Uber do Brasil Tecnolo,41.53
2019-05-02,outros,Zoom*- 2/6,80
2019-05-08,,Pagamento recebido,-691.55
2019-05-15,vestuário,Epocaco*E148925110 1/6,86.3
2019-05-15,saúde,Farmacia Preco Popular,14.77
2019-05-15,supermercado,Koch Hipermercado,69.68
2019-05-16,restaurante,Mcdonaldsbc,21.9
2019-05-16,supermercado,Super Dal Mago,9.66
2019-05-16,restaurante,Ifood*Ifood,25.9
2019-05-17,restaurante,Acai Sarado Lanches,11.5
2019-05-17,restaurante,Restaurante Manias,18
2019-05-17,saúde,Farmacia Univali,11.04
2019-05-18,casa,Komprao Koch Atacadist,9.56
2019-05-18,casa,Komprao Koch Atacadist,8.98
2019-05-20,supermercado,Super Dal Mago,23.26
2019-05-20,serviços,Marcos Alves Pereira,19.99
2019-05-21,,Estorno de "Zoom*-",-160
2019-05-22,restaurante,Stannis Pub,80
2019-05-25,restaurante,Itaisa Com de Alimento,22
2019-05-25,restaurante,Seara,10.5
2019-05-25,restaurante,Restaurante Manias,14
2019-05-25,restaurante,Mcdonaldsbc,43
2019-05-27,supermercado,Koch Hipermercado,53.71
2019-05-27,restaurante,Burger King,35.9
2019-05-27,,Crédito de "Hotels.Com159154021461",-40.46
2019-05-27,viagem,Hotels.Com159154021461 1/3,40.46
2019-05-27,viagem,Adh Hotelaria,150.86
2019-05-28,restaurante,A Favorita Pizzaria,25.75
2019-05-28,restaurante,Lanchonete Dusky,6.5
2019-05-28,supermercado,Supermercado Dal Mago,7.25
2019-05-29,transporte,Uber do Brasil Tecnolo,5.55
2019-05-29,transporte,Uber do Brasil Tecnolo,5.99
2019-05-29,supermercado,Familia Schneider,25.9
2019-05-29,supermercado,Porto Restaurante,17
2019-05-29,restaurante,Lanchonete Dusky,20.5
2019-05-30,restaurante,Lanchonete Dusky,7
2019-05-30,restaurante,Restaurante Manias,18
2019-05-30,restaurante,Stannis Pub,127
