date,category,title,amount
2019-03-01,restaurante,Lanchonete Dusky,10
2019-03-01,restaurante,Restaurante Manias,17
2019-03-11,,Pagamento recebido,-213.86
2019-03-13,restaurante,Mcdonaldsbc,7.9
2019-03-15,restaurante,Cafe Paris Itajai,6.5
2019-03-16,transporte,Posto 4 Ilhas,2.5
2019-03-16,casa,Komprao Koch Atacadist,35.88
2019-03-16,restaurante,Lanchonete Pedro,5
2019-03-18,restaurante,Jp Comercio de Aliment,29
2019-03-19,restaurante,Lanchonete Dusky,6
2019-03-19,restaurante,Restaurante Manias,22
2019-03-19,restaurante,Restaurante Manias,18
2019-03-21,restaurante,Restaurante Manias,9.5
2019-03-21,supermercado,Terral,5.5
2019-03-22,restaurante,Itapanni Padaria e Caf,14.4
2019-03-22,restaurante,Lanchonete Dusky,9.5
2019-03-23,restaurante,Lanchonete Dusky,10
2019-03-25,restaurante,Mc Donalts,25.9
2019-03-25,supermercado,Koch Hipermercado,5.59
2019-03-26,restaurante,Restaurante Manias,22.4
2019-03-26,restaurante,Restaurante Manias,13
2019-03-26,restaurante,Lanchonete Dusky,7.5
2019-03-27,restaurante,Restaurante Manias,14.75
2019-03-27,restaurante,Restaurante Manias,12
2019-03-27,restaurante,Lanchonete Dusky,5
2019-03-27,supermercado,Koch Hipermercado,142.33
2019-03-28,restaurante,Lanchonete Dusky,17
2019-03-28,restaurante,Lanchonete Pedro,5
2019-03-29,restaurante,Mcdonaldsbc,9.4
2019-03-29,restaurante,Gfaf,10.99
2019-03-29,restaurante,Lanchonete Dusky,5
2019-03-30,supermercado,Oliveira e Schreiner L,11.25
2019-03-30,supermercado,Oliveira e Schreiner L,7
2019-03-30,supermercado,Koch Hipermercado,53.34
2019-04-01,supermercado,Oliveira e Schreiner L,13
