date,category,title,amount
2019-11-02,outros,Parcelamento de Fatura (09/Setembro) 3/3,179.17
2019-11-07,saúde,Farmacia Preco Popular,14.99
2019-11-07,supermercado,Bistek Supermercados,20.4
2019-11-07,restaurante,...,17
2019-11-08,restaurante,...,10
2019-11-09,restaurante,Lanchonete Dusky,10.5
2019-11-09,restaurante,Restaurante Manias,18
2019-11-09,restaurante,Mc Donalds Amk,17
2019-11-11,,Pagamento recebido,-863.24
2019-11-12,restaurante,Lanchonete Dusky,1
2019-11-12,restaurante,Pag*Iaramachadoquirog,10
2019-11-14,restaurante,Pag*Iaramachadoquirog,7
2019-11-15,outros,Lanchonete Tentacao do,8.78
2019-11-19,restaurante,Pag*Correadesouza,10
2019-11-20,outros,Lanchonete Tentacao do,9
2019-11-20,restaurante,...,7.5
2019-11-21,restaurante,Burger King,42.4
2019-11-22,restaurante,Lanchonete Dusky,3.5
2019-11-22,restaurante,Burger King,30.8
2019-11-23,restaurante,Lanchonete Dusky,9.5
2019-11-26,restaurante,Burger King,13.15
2019-11-27,restaurante,Burger King,17.85
2019-11-28,restaurante,Lanchonete Dusky,10
2019-11-28,restaurante,Lanchonete Dusky,4.5
2019-11-28,restaurante,Burger King,15.3
2019-11-29,restaurante,Hamburguer Social,9
2019-11-29,outros,Lanchonete Tentacao do,6.5
2019-11-30,eletrônicos,Bit Mix Tecnologia & I,80
2019-11-30,restaurante,Acqio *Manias Restau,14
