date,category,title,amount
2018-11-27,restaurante,Restaurante Manias,22.4
2018-11-27,restaurante,Restaurante Manias,28
2018-11-30,restaurante,Restaurante Manias,10
2018-12-01,restaurante,Burger Ki,15
2018-12-01,restaurante,Lanchonete Dusky,16
2018-12-03,restaurante,Restaurante Manias,18
2018-12-01,restaurante,Acai Sarado Lanches,11
2018-12-06,restaurante,Restaurante Manias,18
2018-12-07,restaurante,Restaurante Manias,18
2018-12-10,,Pagamento recebido,-663.83
2018-12-15,restaurante,Restaurante Manias,18
2018-12-15,restaurante,Restaurante Manias,12
2018-12-15,restaurante,Mcdonaldsbc,26.9
2018-12-24,transporte,Posto Mimim,12
2018-12-24,transporte,Uber do Brasil Tecnolo,74.54
2018-12-31,serviços,Stelo S A*Burger Beer,12
