date,category,title,amount
2019-09-02,outros,Harman do Brasil 3/3,53
2019-09-02,outros,Parcelamento de Fatura (09/Agosto) 2/3,246.56
2019-09-02,vestuário,Epocaco*E148925110 5/6,86.26
2019-09-02,outros,Mercado Pago 3/3,44.76
2019-09-04,restaurante,Restaurante Manias,13.5
2019-09-04,restaurante,Restaurante Manias,12
2019-09-05,restaurante,Pag*Correadesouza,4.5
2019-09-05,restaurante,Pag*Correadesouza,4.5
2019-09-06,restaurante,Restaurante Manias,19
2019-09-06,restaurante,Restaurante Manias,14
2019-09-09,,Pagamento recebido,-350
2019-09-09,,Crédito de Parcelamento,-479.1
2019-09-11,outros,Parcelamento de Fatura (09/Setembro) 1/3,179.17
2019-09-19,restaurante,Lanchonete Dusky,5
2019-09-19,restaurante,Restaurante Manias,18
2019-09-21,,Estorno de IOF de compra internacional,-2.77
2019-09-21,vestuário,Epoca Cosmeticos 1/2,35.95
2019-09-21,,Crédito de "PAYPAL *POWERBATT",-43.35
2019-09-25,restaurante,Restaurante Manias,10
2019-09-25,restaurante,Restaurante Manias,18
2019-09-26,restaurante,Mc Donalds Amk,9.4
2019-09-27,transporte,Uber do Brasil Tecnolo,19.36
